Tarih;GiseSatis
20.06.2022;17.337
21.06.2022;17.379
22.06.2022;17.409
23.06.2022;17.398
24.06.2022;16.919
25.06.2022;16.971
26.06.2022;16.971
27.06.2022;16.731
28.06.2022;16.814
29.06.2022;16.797
30.06.2022;16.73
1.07.2022;16.824
2.07.2022;16.81
3.07.2022;16.81
4.07.2022;16.858
5.07.2022;17.111
6.07.2022;17.394
7.07.2022;17.346
8.07.2022;17.412
9.07.2022;17.428
13.07.2022;17.625
14.07.2022;17.672
15.07.2022;17.533
16.07.2022;17.555
17.07.2022;17.555
18.07.2022;17.544
19.07.2022;17.622
20.07.2022;17.784
21.07.2022;17.971
22.07.2022;17.882
23.07.2022;17.875
24.07.2022;17.875
25.07.2022;17.89
26.07.2022;17.982
27.07.2022;18.064
28.07.2022;17.994
29.07.2022;17.964
30.07.2022;17.95
31.07.2022;17.95
1.08.2022;17.955
2.08.2022;18.009
3.08.2022;45.003
4.08.2022;18.026
5.08.2022;18.037
6.08.2022;44.975
7.08.2022;44.975
8.08.2022;18.012
9.08.2022;17.997
10.08.2022;17.999
11.08.2022;18.012
12.08.2022;18.017
13.08.2022;18.017
14.08.2022;18.017
15.08.2022;18.037
16.08.2022;18.092
17.08.2022;18.116
18.08.2022;18.213
19.08.2022;18.242
20.08.2022;18.251
21.08.2022;18.251
22.08.2022;18.268
23.08.2022;18.253
24.08.2022;18.252
25.08.2022;18.251
26.08.2022;18.251
27.08.2022;18.25
28.08.2022;18.25
29.08.2022;18.24
30.08.2022;18.257
31.08.2022;18.236
1.09.2022;18.327
2.09.2022;18.316
3.09.2022;18.315
4.09.2022;18.315
5.09.2022;18.296
6.09.2022;18.331
7.09.2022;18.402
8.09.2022;18.378
9.09.2022;18.347
10.09.2022;18.33
11.09.2022;18.33
12.09.2022;18.311
13.09.2022;18.423
14.09.2022;18.408
15.09.2022;18.423
16.09.2022;18.501
17.09.2022;18.52
18.09.2022;18.52
19.09.2022;18.505
20.09.2022;18.457
21.09.2022;18.498
22.09.2022;18.469
23.09.2022;18.615
24.09.2022;18.615
25.09.2022;18.615
26.09.2022;18.603
27.09.2022;18.573
28.09.2022;18.691
29.09.2022;45.095
30.09.2022;18.642
1.10.2022;18.621
2.10.2022;18.621
3.10.2022;18.628
4.10.2022;18.64
5.10.2022;18.68
6.10.2022;18.687
7.10.2022;18.692
8.10.2022;18.682
9.10.2022;18.682
10.10.2022;18.662
11.10.2022;18.687
12.10.2022;18.698
13.10.2022;18.713
14.10.2022;18.692
15.10.2022;18.695
16.10.2022;18.695
17.10.2022;18.699
18.10.2022;18.714
19.10.2022;18.755
20.10.2022;18.77
21.10.2022;18.754
22.10.2022;18.728
23.10.2022;18.728
24.10.2022;18.714
25.10.2022;18.672
26.10.2022;18.651
27.10.2022;18.651
28.10.2022;18.667
29.10.2022;18.667
31.10.2022;18.685
1.11.2022;45.125
2.11.2022;18.765
3.11.2022;18.745
4.11.2022;18.665
5.11.2022;18.645
6.11.2022;18.645
7.11.2022;18.598
8.11.2022;18.62
9.11.2022;18.639
10.11.2022;18.557
11.11.2022;18.632
12.11.2022;18.616
13.11.2022;18.616
14.11.2022;18.707
15.11.2022;18.737
16.11.2022;18.728
17.11.2022;18.737
18.11.2022;18.748
19.11.2022;18.751
20.11.2022;18.751
21.11.2022;18.753
22.11.2022;18.732
23.11.2022;18.736
24.11.2022;18.715
25.11.2022;18.711
26.11.2022;18.706
27.11.2022;18.706
28.11.2022;18.697
29.11.2022;18.689
30.11.2022;18.706
1.12.2022;18.716
2.12.2022;18.743
3.12.2022;18.74
4.12.2022;18.74
5.12.2022;18.738
6.12.2022;18.754
7.12.2022;18.764
8.12.2022;18.763
9.12.2022;18.719
10.12.2022;18.722
11.12.2022;18.722
12.12.2022;18.726
13.12.2022;18.721
14.12.2022;18.725
15.12.2022;18.754
16.12.2022;18.78
17.12.2022;18.77
18.12.2022;18.77
19.12.2022;18.786
20.12.2022;18.801
21.12.2022;18.842
22.12.2022;18.845
23.12.2022;18.87
24.12.2022;18.86
25.12.2022;18.86
26.12.2022;18.851
27.12.2022;18.828
28.12.2022;18.876
29.12.2022;18.916
30.12.2022;18.902
31.12.2022;18.89
